material_ID,material_name,material_vendor,material_category,LCA_source,LCA_ID,LCA_source_URL,density (kg/m3),GHG emissions Total (kg),GHG emissions production (kg),GHG emissions disposal (kg)
SPAG-300473-10.006,puren PIR NE / purenotherm (≥ 120mm),,,KBOB,10.006,,33,7.45,4.8,2.65
SPAG-300477-10.006,Sarnapur diffusionsdicht (PIR) (20-79mm),,,KBOB,10.006,,33,7.45,4.8,2.65
SPAG-300479-10.006,Sarnapur diffusionsoffen (PIR) (20-79mm),,,KBOB,10.006,,33,7.45,4.8,2.65
SPAG-300480-10.006,Sarnapur diffusionsoffen (PIR) (80-119mm),,,KBOB,10.006,,33,7.45,4.8,2.65
SPAG-300481-10.006,Sarnapur diffusionsoffen (PIR) (120-200mm),,,KBOB,10.006,,33,7.45,4.8,2.65
SPAG-300482-10.006,Sarnapur novoPIR (60-200mm),,,KBOB,10.006,,33,7.45,4.8,2.65
SPAG-300483-10.006,steinothan 120 (60-200mm),,,KBOB,10.006,,38,7.45,4.8,2.65
SPAG-300484-10.006,steinothan Alu 022 (80-200mm),,,KBOB,10.006,,35,7.45,4.8,2.65
SPAG-300485-10.006,steinothan MV 025 (120-200mm),,,KBOB,10.006,,35,7.45,4.8,2.65
SPAG-300486-10.006,steinothan MV 026 (80-119mm),,,KBOB,10.006,,35,7.45,4.8,2.65
SPAG-300487-10.006,steinothan Alu 023 (20-79mm),,,KBOB,10.006,,38,7.45,4.8,2.65
SPAG-300488-10.006,steinothan MV 028 (30-79mm),,,KBOB,10.006,,38,7.45,4.8,2.65
SPAG-300499-10.006,swissporPIR Top023 (60mm),,,KBOB,10.006,,35,7.45,4.8,2.65
SPAG-300500-10.006,swissporPIR Top023 (80-100mm),,,KBOB,10.006,,35,7.45,4.8,2.65
SPAG-300505-10.003,Phenolharzschaum; nicht überwacht,,,KBOB,10.003,,50,7.26,4.17,3.09
SPAG-300506-10.003,Austrotherm Resolution (20-300mm),,,KBOB,10.003,,35,7.26,4.17,3.09
SPAG-300507-10.003,Kooltherm (20-44mm),,,KBOB,10.003,,36,7.26,4.17,3.09
SPAG-300508-10.003,Kooltherm (45-120mm),,,KBOB,10.003,,36,7.26,4.17,3.09
SPAG-300510-10.002,"Kork: Platten, Matten; nicht überwacht",,,KBOB,10.002,,160,1.109,1.07,0.039
SPAG-300512-7.005,"Holzwolle-Dämmplatten, mineralisiert; nicht überwacht",,Dämmung,KBOB,7.005,,600,0.5353,0.499,0.0363
SPAG-300513-7.005,"Deckschichten von Mehrschichtplatten 5 mm, nicht überwacht",,,KBOB,7.005,,-1,0.5353,0.499,0.0363
SPAG-300514-7.005,"Deckschichten von Mehrschichtplatten 7,5 mm, nicht überwacht",,,KBOB,7.005,,-1,0.5353,0.499,0.0363
SPAG-300515-7.005,"Deckschichten von Mehrschichtplatten 10 mm, nicht überwacht",,,KBOB,7.005,,-1,0.5353,0.499,0.0363
SPAG-300516-7.004,Holzfaserplatten: nicht überwacht,,,KBOB,7.004,,160,1.074,1.03,0.044
SPAG-300516-7.004,Holzfaserplatten: nicht überwacht,,,KBOB,7.004,,160,1.074,1.03,0.044
SPAG-300519-10.009,GUTEX Thermoroom (20-100mm),,,KBOB,10.009,,130,0.7266,0.634,0.0926
SPAG-300520-10.009,GUTEX Ultratherm (50-160mm),,,KBOB,10.009,,180,0.7266,0.634,0.0926
SPAG-300521-10.009,GUTEX Thermowall (20-180mm),,,KBOB,10.009,,160,0.7266,0.634,0.0926
SPAG-300523-10.009,GUTEX Thermoflat (100-160mm),,,KBOB,10.009,,140,0.7266,0.634,0.0926
SPAG-300526-10.009,GUTEX Thermosafe-homogen (20-240mm),,,KBOB,10.009,,110,0.7266,0.634,0.0926
SPAG-300528-10.009,GUTEX Thermoinstal (40-100mm),,,KBOB,10.009,,150,0.7266,0.634,0.0926
